id,climate,energy,environment,resources,sustainability,dedicated,total
R1ARCH01,0,0,3,2,1,1,4
A2UIDA01,0,0,0,0,0,0,0
A2UICI02,0,0,0,0,0,0,0
A2UICI01,1,1,0,0,0,1,1
A2UCHI01,1,2,2,3,3,2,5
A2STHR01,0,1,0,0,0,0,1
A2UAEL01,0,1,0,0,0,0,1
A2UGIN01,3,8,3,0,1,3,9
GYCOBM92,0,0,0,0,0,0,0
VYANLA00,0,0,0,0,0,0,0
DYCUDC00,0,0,0,0,0,0,0
MYECHR90,0,0,0,0,0,0,0
GYEMBA90,0,0,0,0,0,0,0
SYEMES91,1,1,0,0,0,0,1
GYEMPM90,0,0,0,0,0,0,0
DYEMAI90,0,0,0,0,0,0,0
GYEMFI90,0,0,0,0,0,0,0
RYEMEO90,0,0,0,0,0,0,0
GYEMAM90,0,0,0,0,0,0,0
GYEMAC90,0,0,0,0,0,0,0
MYMSIH90,0,0,0,0,0,0,0
DYSSMT90,0,0,0,0,0,0,0
DYDDVU90,0,0,0,0,0,0,0
DYDIEN90,0,0,0,0,0,0,0
YYGSPA90,0,0,0,0,0,0,0
VYMPIS90,0,0,0,0,0,0,0
PYEFCM90,0,0,0,0,0,0,0
PYTCVI90,0,0,0,0,0,0,0
HYEFIP90,0,0,0,0,0,0,0
HYTDIS90,0,0,0,0,0,0,0
YYTSAU90,0,0,0,0,0,0,0
MYCITB00,0,0,0,0,0,0,0
YYCIPO90,0,0,0,0,0,0,0
GYIPMC00,0,0,0,0,0,0,0
MYPLCI00,0,0,0,0,0,0,0
SYCPEE00,0,0,0,0,0,0,0
MYCINC00,0,0,0,0,0,0,0
HYMIGR00,0,0,0,0,0,0,0
PYMECU90,0,0,0,0,0,0,0
MYMTTC90,0,0,0,0,0,0,0
MYMESP00,0,0,0,0,0,0,0
MYMESO90,0,0,0,0,0,0,0
SYCMTL00,0,0,0,0,0,0,0
GYCIDS00,0,0,0,0,0,0,0
MYKISP00,0,0,0,0,0,0,0
HYISLA90,0,0,0,0,0,0,0
MYIMCL90,0,0,0,0,0,0,0
MYIMEC90,0,0,0,0,0,0,0
MYCIHH00,0,0,0,0,0,0,0
MYGMSE90,0,0,0,0,0,0,0
DYCISU00,0,0,0,0,0,0,0
DYGCPU90,0,0,0,0,0,0,0
MYCIGH00,0,0,0,0,0,0,0
DYCEPP90,0,0,0,0,0,0,0
MYEPIL90,0,0,0,0,0,0,0
MYENRE90,0,0,0,0,0,0,0
AYELEN90,0,0,0,0,0,0,0
MYETIC90,0,0,0,0,0,0,0
