id,climate,energy,environment,resources,sustainability,dedicated,total
A1MAIE01,0,1,1,2,3,4,5
A1MAGI01,0,0,1,1,0,0,2
A1MAGG01,0,0,4,0,1,1,5
A1AGRO01,0,0,1,1,0,0,2
A1TGHO01,0,0,1,0,0,0,1
A1TGAA01,1,1,4,1,1,4,7
EBSPMD01,0,0,0,0,0,0,0
M1BIOM01,0,0,0,0,0,0,0
PYCEPV00,0,0,0,0,0,0,0
PYCEPP00,0,0,0,0,0,0,0
PYCEPC00,0,0,0,0,0,0,0
PYCEPH00,0,0,0,0,0,0,0
PBSPPE01,0,0,0,0,0,0,0
P1NSSH01,0,0,0,0,0,0,0
P1NSSE01,0,0,0,0,0,0,0
P1NSSC01,0,0,0,0,0,0,0
P1NSMA01,0,0,0,0,0,0,0
P1NSLG01,0,0,0,0,0,0,0
P1NSFL01,0,0,0,0,0,0,0
P1NSFE01,0,0,0,0,0,0,0
P1NSEP01,0,0,0,0,0,0,0
P1PAPS01,0,0,0,0,0,0,0
P1PAPP01,0,0,0,0,0,0,0
P1PRIV01,0,0,0,0,0,0,0
P1PRIL01,0,0,0,0,0,0,0
P1PRIH01,0,0,0,0,0,0,0
P1PRES01,0,0,0,0,0,0,0
P1EDUC01,0,0,0,0,0,0,0
E1TOUR01,1,0,1,1,1,1,1
E1IMMO01,0,1,0,1,0,0,1
E1GHOM01,0,0,0,0,1,1,1
E1ADVW01,0,0,0,0,0,0,0
E1ADHB01,0,0,0,0,0,0,0
A1AJEP01,0,0,0,1,0,0,1
