id,climate,energy,environment,resources,sustainability,dedicated,total
138F,0,0,0,0,0,0,0
040B,0,0,0,0,0,0,0
722K,0,0,0,0,0,0,0
101K,0,0,0,0,0,0,0
100K,0,0,0,0,0,0,0
102K,0,0,0,0,0,0,0
170B,0,0,0,0,0,0,0
100B,0,1,2,1,3,2,3
9000,0,1,1,1,1,1,1
600C,0,0,0,0,0,0,0
618F,0,0,0,0,0,0,0
600K,0,0,0,0,0,0,0
281F,0,0,0,0,0,0,0
418F,0,0,0,0,0,0,0
420M,0,0,0,0,0,0,0
422M,0,0,0,0,0,0,0
423M,0,0,0,0,0,0,0
424M,0,0,0,0,0,0,0
460M,0,0,0,0,0,0,0
46AM,0,0,0,0,0,0,0
411M,0,0,0,0,0,0,0
460B,1,0,0,0,0,0,1
420B,1,0,0,0,0,0,1
410B,0,0,0,0,0,0,0
297F,0,0,0,0,0,0,0
291F,0,0,0,0,0,0,0
210G,0,0,0,0,0,0,0
200G,0,0,0,0,0,0,0
220G,0,0,0,0,0,0,0
250G,0,0,0,0,0,0,0
203K,0,0,0,0,0,0,0
281K,0,0,0,0,0,0,0
280K,0,3,0,0,0,1,3
282K,0,0,0,0,0,0,0
251K,0,0,1,0,0,0,1
224M,1,2,2,0,0,0,4
210M,3,1,0,0,0,2,4
200M,1,0,0,0,0,0,1
220M,2,1,2,1,1,0,4
250M,1,1,1,0,0,0,2
26AM,0,0,0,0,0,0,0
241M,1,0,4,1,5,3,7
243M,1,0,4,1,6,4,8
244M,1,0,4,1,5,3,7
242M,1,0,4,1,5,3,7
245M,1,0,5,1,5,4,8
212M,3,1,0,0,0,2,4
211M,3,1,0,0,0,2,4
21DM,3,1,0,0,0,2,4
21AM,3,2,0,0,0,2,5
202M,1,0,0,0,0,0,1
201M,1,0,0,0,0,0,1
20DM,1,0,0,0,0,0,1
20AM,1,0,0,0,0,0,1
221M,2,1,4,1,1,1,6
22DM,2,1,3,1,1,0,5
22AM,2,4,3,1,1,2,8
281M,0,0,1,0,1,0,2
291M,2,2,4,1,1,0,9
29DM,2,1,4,1,1,0,8
29AM,2,1,4,1,1,0,8
251M,1,0,0,0,0,0,1
25DM,1,0,0,0,0,0,1
25AM,1,0,0,0,0,0,1
210B,0,2,1,0,0,0,3
200B,0,0,1,0,0,0,1
230B,0,0,4,1,1,1,5
240B,1,0,4,0,2,2,6
220B,0,0,1,0,0,0,1
250B,1,0,5,0,0,3,6
270B,1,0,2,0,0,1,2
811F,0,0,0,0,0,0,0
800K,0,0,0,0,0,0,0
870M,0,0,0,0,0,0,0
800M,0,0,0,0,0,0,0
801M,0,0,0,0,0,0,0
802M,0,0,0,0,0,0,0
812M,0,0,0,0,0,0,0
811M,0,0,0,0,0,0,0
870B,0,0,0,0,0,0,0
810B,0,0,0,0,0,0,0
800B,0,1,1,1,2,1,2
721F,0,0,0,0,0,0,0
711F,0,0,0,0,0,0,0
710G,0,0,0,0,0,0,0
715G,0,0,0,0,0,0,0
720K,0,0,0,0,1,0,1
721K,0,0,0,0,0,0,0
771M,1,0,1,0,0,0,2
710M,0,0,1,0,0,1,1
775M,1,0,1,0,0,0,2
750M,0,0,1,0,1,1,1
772M,1,0,1,0,0,0,2
711M,0,0,1,0,0,1,1
71DM,0,0,1,0,0,1,1
71AM,0,0,0,0,0,0,0
751M,0,0,1,0,1,1,1
773M,1,0,1,0,0,0,2
75DM,0,0,1,0,1,1,1
732M,0,0,0,0,0,0,0
731M,1,1,0,1,1,0,1
752M,0,0,0,0,0,0,0
770B,0,0,0,0,0,0,0
710B,0,0,0,0,1,0,1
701B,0,0,1,0,1,1,1
730B,1,0,2,0,1,1,3
703B,0,0,0,0,1,0,1
118F,0,0,0,0,0,0,0
022F,0,0,0,0,0,0,0
040K,0,0,0,0,0,0,0
050K,0,0,0,0,0,0,0
001K,0,0,0,0,0,0,0
000B,1,0,1,0,1,1,2
030B,0,0,0,0,0,0,0
020B,0,0,0,0,0,0,0
010B,0,0,0,0,0,0,0
050B,0,0,0,0,0,0,0
