id,climate,energy,environment,resources,sustainability,dedicated,total
PHA1,0,0,0,0,0,0,0
MSY1_S211,0,0,0,0,0,0,0
MAT1_S235,2,0,3,0,0,1,5
MEL1_S226,0,5,2,0,0,2,6
MEL1_S225,0,3,2,0,0,2,4
TIS1,0,0,5,0,2,3,6
MCC1,0,0,0,0,0,0,0
MTR1_S182,0,0,0,0,0,0,0
MTR1_S181,0,0,0,0,0,0,0
MTR1_S180,0,0,0,0,0,0,0
MTR1_S277,0,0,0,0,0,0,0
MIO1_S241,0,0,0,0,0,0,0
MGT1_S208,0,0,0,0,0,0,0
MGT1_S209,0,0,0,0,0,0,0
MPT1_S204,0,0,0,0,0,0,0
MPT1_S205,0,0,0,0,0,0,0
MPT1_S206,0,0,0,0,0,0,0
MIS1_S210,0,0,2,0,1,1,2
MEL1_S227,0,11,10,0,0,2,12
MEC1_S231,1,2,3,0,1,1,5
MEC1_S232,1,3,3,0,1,2,6
MEC1_S233,1,2,3,0,1,1,5
ICI1_S228,0,1,1,0,0,1,1
MST1_S223,0,0,2,2,1,1,4
MST1_S224,0,0,10,2,1,1,11
MMG1,1,1,23,1,3,4,24
MAH1,1,2,1,0,1,2,3
MAT1_S236,2,0,2,0,2,2,6
MSY1_S212,0,0,0,0,0,0,0
MSY1_S285,0,0,0,0,0,0,0
MSE1_S214,0,0,0,0,0,0,0
MSE1_S215,0,0,0,0,0,0,0
MSE1_S279,0,0,0,0,0,0,0
MBD1_S282,0,0,1,0,0,0,1
MBD1_S237,0,0,2,0,0,0,2
BHS1,0,0,1,0,0,0,1
BWG1_S259,0,0,1,0,1,0,1
BWG1_S260,0,0,1,0,1,0,1
BGW1_S263,0,0,1,0,1,0,1
BWG1_S261,1,1,3,1,2,2,3
BTI1,0,0,0,0,0,0,0
BSP1,0,0,0,0,0,0,0
BSM1,0,0,0,0,0,0,0
BSI1,0,0,0,0,0,0,0
BSC1,0,0,0,0,0,0,0
BIO1,1,0,1,0,0,1,2
BSB1,1,0,2,0,0,1,2
BPL1,0,0,0,0,0,0,0
PAA1,0,0,0,0,0,0,0
BIN1,1,1,3,1,1,1,3
BGI1,1,1,2,1,1,1,2
BIA1,0,1,8,1,1,0,9
BPS1,0,0,0,0,0,0,0
BBS1,0,0,0,0,0,0,0
MED1,0,0,0,0,0,0,0
BAC1,1,2,1,1,2,1,3
MSP1,0,0,0,0,0,0,0
MPY1_S199,0,0,0,0,0,0,0
MSL1,0,0,0,0,0,0,0
AEG1,0,0,0,0,0,0,0
CFW1_S248,0,0,0,0,0,0,0
C561,0,0,0,0,0,0,0
7511,0,0,0,0,0,0,0
C631,0,0,0,0,0,0,0
C621,0,0,0,0,0,0,0
5221,0,0,0,0,0,0,0
C831,0,0,1,0,0,0,1
5081,0,0,0,0,0,0,0
C991,0,0,0,0,0,0,0
C981,0,0,0,0,0,0,0
5171,0,0,0,0,0,0,0
5041_S267,0,0,0,0,0,0,0
5041_S286,0,0,0,0,0,0,0
5041_S268,0,0,0,0,0,0,0
5041_S287,0,0,0,0,0,0,0
5041_S269,0,0,0,0,0,0,0
5051,0,0,0,0,0,0,0
5061,0,0,0,0,0,0,0
6071,0,0,0,0,0,0,0
6081,0,0,0,0,0,0,0
C761,0,0,0,0,0,0,0
C881,0,0,0,0,0,0,0
5021,0,0,0,0,0,0,0
C931,0,0,0,0,0,0,0
CFW1_S249,0,0,0,0,0,0,0
CSP1_S264,0,0,0,0,0,0,0
CSP1_S265,0,0,0,0,0,0,0
CAI1_S247,0,0,0,0,0,0,0
CAI1_S242,0,0,0,0,0,0,0
CSC1_S252,0,0,0,0,0,0,0
CSC1_S253,0,0,0,0,0,0,0
CFE1_S250,0,0,0,0,0,0,0
CFE1_S251,0,0,0,0,0,0,0
CSI1_S254,0,0,0,0,0,0,0
CSI1_S255,0,0,0,0,0,0,0
CAU1_S256,0,0,0,0,0,0,0
CAU1_S257,0,0,0,0,0,0,0
APO1,0,0,0,0,0,0,0
ATI1,0,0,0,0,0,0,0
AEP1,0,0,0,0,0,0,0
AEM1,0,0,0,0,0,0,0
AIN1,0,0,0,0,0,0,0
ASC1,0,0,0,0,0,0,0
ABI1,0,0,0,0,0,0,0
APE1,0,0,0,0,0,0,0
AIT1,0,0,0,0,0,0,0
ABP1,0,0,0,0,0,0,0
AAU1,0,0,0,0,0,0,0
MLA1,0,0,0,0,0,0,0
MPY1_S200,0,0,0,0,0,0,0
MMA1,0,0,0,0,0,0,0
MMT1_S193,0,0,0,0,0,0,0
MMT1_S195,0,0,0,0,0,0,0
MMT1_S194,0,0,0,0,0,0,0
MMT1_S191,0,0,0,0,0,0,0
MIQ1_S222,0,0,0,0,0,0,0
MIF1_S198,0,0,0,0,0,0,0
MSI1,0,0,0,0,0,0,0
MIF1_S197,0,0,0,0,0,0,0
MIF1_S283,0,0,0,0,0,0,0
MCH1_S203,0,1,0,0,0,0,1
MCH1_S201,0,1,1,0,0,0,2
MCQ1,0,0,0,0,0,0,0
MCH1_S202,0,1,0,1,1,0,2
MBI1,0,0,1,1,0,0,2
MOE1_S243,0,0,6,0,1,3,6
MOE1_S245,0,0,4,0,1,3,4
MOE1_S244,2,2,10,2,3,6,10
MBM1_S219,0,0,4,1,0,2,5
MBM1_S221,0,0,3,1,0,2,4
MBM1_S220,0,0,4,1,0,2,5
