patterns,themes
(?:emissions? )?(?:de )?gaz (?:a )?(?:effets? )(?:de )?serre,['climate']
(?:^|[^a-z])cop ?[0-9]+,['climate']
(?:pertes?|fontes?|diminutions?|reductions?) (?:glaces?|calottes?(?: polaires?)|permafrost|pergelisol),"['climate', 'environment']"
"[architecture durable, ecologi, materiaux]",['sustainability']
"[basse energie, durabilité]",['energy']
"[bio(?:diversite|sphere), ecolog]",['environment']
"[bio(?:diversite|sphere), ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), consequence, (?:ecolog|environnement|ecosyst[^ ]+]",['environment']
"[bio(?:diversity|sphere), destruction, (?:environment|ecology|ecosystem)]",['environment']
"[bio(?:diversite|sphere), effondrement, (?:ecolog|environnement|ecosyst[^ ]+)]",['environment']
"[bio(?:diversite|sphere), erosion, (?:ecolog|environnement|ecosyst[^ ]+]",['environment']
"[bio(?:diversity|sphere), extinction, (?:environment|ecology|ecosystem)]",['environment']
"[bio(?:diversite|sphere), evolution, (?:ecolog|environnement|ecosyst[^ ]+)]",['environment']
"[bio(?:diversite|sphere), impact, (?:ecolog|environnement|ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), probleme, (?:ecolog|environnement|ecosyst[^ ]+]",['environment']
"[bioclimat[^ ]+, energ[^ ]+]",['energy']
"[bioclimat[^ ]+, construction]",['energy']
"[climat, environnement, ecologie]",['environment']
"[conception bioclimatiq, durab(?:ilite|le), systemes? energetiques?]",['environment']
"[consom[^ ]+ (?:d')?energ[^ ]+, durabilite, environnement]",['energy']
"[consom[^ ]+ (?:d')?energ[^ ]+, developp[^ ]+ durab[^ ]+, environnement]",['energy']
"[consom[^ ]+ (?:d')?energ[^ ]+, solutions? developp[^ ]+ durab[^ ]+, environnement]",['energy']
"[construction durable, ecologi, materiaux]",['sustainability']
"[contamination, aquifere]",['environment']
"[contamination, cours d'eau]",['environment']
"[contamination, oceans?]",['environment']
"[contamination, phreatique]",['environment']
"[degradation, ecosyst[^ ]+, environnement]",['environment']
"[degradation, aquifere]",['environment']
"[degradation, cours d'eau]",['environment']
"[degradation, ocean]",['environment']
"[degradation, phreatique]",['environment']
"[developp[^ ]+ durab[^ ]+, (?:environnement|ecologie)]",['sustainability']
"[developp[^ ]+ durab[^ ]+, impact]",['sustainability']
"[developp[^ ]+ durab[^ ]+, anthropocene]",['sustainability']
"[developp[^ ]+ durab[^ ]+, droits? (?:d'|de l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, environnement, (?:ecologi|ecosyst[^ ]+)]",['sustainability']
"[developp[^ ]+ durab[^ ]+, impacts? (?:d'|de l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, materiaux, gisement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, perturbations? (?:d'|de l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, problem(?:e|atique)s? (?:d'|de l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, transition energ]",['sustainability']
"[developp[^ ]+ durab[^ ]+, transition climat]",['sustainability']
"[developp[^ ]+ durab[^ ]+, transition social]",['sustainability']
"[developpements? durables?, transition]",['sustainability']
"[durabilite, analyse (?:du )?cycle de vie]",['sustainability']
"[durab(?:le|ilite), mobilité]",['sustainability']
"[ecologi, anthropocene]","['environment', 'misc']"
"[ecologi, climat, elevage]","['climate', 'environment']"
"[ecologi, climat, agriculture]","['climate', 'environment']"
"[ecologi, climat, amenagements? du territoire)]","['environment', 'climate']"
"[ecologi, climat, developpements? du territoire)]","['environment', 'climate']"
"[ecologi, etudes? multispecifiques?, environnement]",['environment']
"[ecologi, transition energetique]","['environment', 'misc']"
"[ecologi, transition climatiq]","['environment', 'misc']"
"[ecologi, transition sociale]","['environment', 'misc']"
"[ecologie politique, environnement]",['environment']
"[ecologie, durabilite]",['environment']
"[economie sociale, transition ecologiqu]",['sustainability']
"[economie sociale, transition social]",['sustainability']
"[economie solidaire, transition ecologiqu]",['sustainability']
"[economie solidaire, transition social]",['sustainability']
"[ecosyst[^ ]+, degradations?, anthrop(?:iq|ocene)]","['environment', 'resources']"
"[ecosyst[^ ]+, perturbations?, anthrop(?:iq|ocene)]","['environment', 'resources']"
"[ecosyst[^ ]+, pollutions?, anthrop(?:iq|ocene)]","['environment', 'resources']"
"[ecosyst[^ ]+, pollution]",['environment']
"[ecosyst[^ ]+, resilience]",['environment']
"[effets? (?:de )?serre, atmosphere]",['misc']
"[effets? (?:de )?serre, climat]",['misc']
"[effondrement, climat, environnement]",['resources']
"[effondrement, espece]",['environment']
"[effondrement, insecte]",['environment']
"[effondrement, oiseau]",['environment']
"[electri[^ ]+, stockage]",['energy']
"[electri[^ ]+, verte]",['energy']
"[elevation, oceans?, clima[^ ]+]",['climate']
"[elevation, mers?, clima[^ ]+]",['climate']
"[environnement, (?:de)?pollution, developp[^ ]+ durab[^ ]+]",['sustainability']
"[environnement, durabilite]",['environment']
"[extinction, espece]",['environment']
"[extinction, insecte]",['environment']
"[extinction, oiseau]",['environment']
"[extraction, impact, environnement]",['resources']
"[gestion (?:de l')environnement, ecologi, impact]",['environment']
"[glaciolog, climatolog, atmospher]",['climate']
"[glaciolog, climatolog, modelisation]",['climate']
"[glaciolog, climatolog, thermodynamiq]",['climate']
"[impact, aquifere]",['environment']
"[impact, cours d'eau]",['environment']
"[impact, oceans?]",['environment']
"[impact, pesticide]",['environment']
"[impact, phreatique]",['environment']
"[impacts? (?:de l')humanite, cycles? bio-?geo-?(?:chimique|physique)]",['climate']
"[impacts? (?:de l'|des )homme, cycles? bio-?geo-?(?:chimique|physique)]",['climate']
"[impacts? (?:de l'|des )industrie, cycles? bio-?geo-?(?:chimique|physique)]",['climate']
"[materiaux, analyse (?:du )?cycle de vie]",['sustainability']
