patterns,themes
(?:^|[^a-z])cop ?[0-9]+,['climate']
(?:emissions? )?(?:de )?gaz (?:a )?(?:effets? )(?:de )?serre,['climate']
(?:pertes?|fontes?|diminutions?|reductions?) (?:glaces?|calottes?(?: polaires?)|permafrost|pergelisol),"['climate', 'environment']"
"[architectures? durab[^ ]+, ecologi, materiaux]",['sustainability']
"[droit, environnement]",['test']
"[basse energie, durabilite]",['energy']
"[bio(?:diversite|sphere), consequence, environnement|ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), ecolo[^ ]+]",['environment']
"[bio(?:diversite|sphere), ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), effondrement, environnement|ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), erosion, environnement|ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), evolution, environnement|ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), impact, environnement|ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversite|sphere), probleme, environnement|ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversity|sphere), destruction, environnement|ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bio(?:diversity|sphere), extinction, environnement|ecolo[^ ]+|ecosyst[^ ]+]",['environment']
"[bioclimat[^ ]+, construction]",['energy']
"[bioclimat[^ ]+, energ[^ ]+]",['energy']
"[climat, environnement, ecolog[^ ]+]",['environment']
"[conception bioclimatiq, durab(?:ilite|le), systemes? energetiques?]",['environment']
"[consom[^ ]+ (?:d')?energ[^ ]+, developp[^ ]+ durab[^ ]+, environnement]",['energy']
"[consom[^ ]+ (?:d')?energ[^ ]+, durabilite, environnement]",['energy']
"[consom[^ ]+ (?:d')?energ[^ ]+, solutions? developp[^ ]+ durab[^ ]+, environnement]",['energy']
"[construction durable, ecologi, materiaux]",['sustainability']
"[contamination, aquifere]",['environment']
"[contamination, cours d'eau]",['environment']
"[contamination, oceans?]",['environment']
"[contamination, phreatique]",['environment']
"[degradation, aquifere]",['environment']
"[degradation, cours d'eau]",['environment']
"[degradation, ecosyst[^ ]+, environnement]",['environment']
"[degradation, ocean]",['environment']
"[degradation, phreatique]",['environment']
"[developp[^ ]+ durab[^ ]+, anthropocene]",['sustainability']
"[developp[^ ]+ durab[^ ]+, droits? (?:d'|de l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, environnement, ecolo[^ ]+|ecosyst[^ ]+]",['sustainability']
"[developp[^ ]+ durab[^ ]+, environnement|ecologie[^ ]+]",['sustainability']
"[developp[^ ]+ durab[^ ]+, impact]",['sustainability']
"[developp[^ ]+ durab[^ ]+, impacts? (?:d'|de l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, materiaux, gisement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, perturbations? (?:d'|de l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, problem(?:e|atique)s? (?:d'|de l')?environnement]",['sustainability']
"[developp[^ ]+ durab[^ ]+, transiti[^ ]+ climat]",['sustainability']
"[developp[^ ]+ durab[^ ]+, transiti[^ ]+ energ[^ ]+]",['sustainability']
"[developp[^ ]+ durab[^ ]+, transiti[^ ]+ social]",['sustainability']
"[durab(?:le|ilite), mobilite]",['sustainability']
"[durabilite, analyse (?:de )?cycle (?:de )?vie]",['sustainability']
"[ecologi, anthropocene]","['environment', 'misc']"
"[ecologi, climat, agriculture]","['climate', 'environment']"
"[ecologi, climat, amenagements? du territoire]","['environment', 'climate']"
"[ecologi, climat, developpements? du territoire]","['environment', 'climate']"
"[ecologi, climat, elevage]","['climate', 'environment']"
"[ecologi, etudes? multispecifiques?, environnement]",['environment']
"[ecologi, transiti[^ ]+ climatiq[^ ]+","['environment', 'misc']"
